Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,2.0,0.0,0.0,0.0,2.3
3.0,3.0,0.1,0.0,0.1,2.5
4.0,4.0,0.1,0.0,0.1,2.6
5.0,5.0,0.1,0.0,0.1,2.6
6.0,6.0,0.1,0.1,0.2,2.6
7.0,7.0,0.2,0.1,0.2,2.5
8.0,8.0,0.2,0.1,0.2,2.5
9.0,9.0,0.2,0.1,0.2,2.4
10.0,10.0,0.2,0.1,0.2,2.4
11.0,11.0,0.2,0.1,0.3,2.4
12.0,12.0,0.3,0.1,0.3,2.3
13.0,13.0,0.3,0.1,0.3,2.2
14.0,14.0,0.3,0.1,0.3,2.1
15.0,15.0,0.3,0.1,0.3,2.0
16.0,16.0,0.3,0.1,0.3,1.9
17.0,17.0,0.3,0.1,0.3,1.8
18.0,18.0,0.3,0.1,0.3,1.8
19.0,19.0,0.3,0.1,0.3,1.8
20.0,20.0,0.3,0.1,0.4,1.8
21.0,21.0,0.4,0.1,0.4,1.8
22.0,22.0,0.4,0.1,0.4,1.8
23.0,23.0,0.4,0.1,0.4,1.8
24.0,24.0,0.4,0.1,0.4,1.9
25.0,25.0,0.5,0.2,0.5,1.9
26.0,26.0,0.5,0.2,0.5,2.0
27.0,27.0,0.5,0.2,0.5,2.0
28.0,28.0,0.5,0.2,0.6,2.1
29.0,29.0,0.6,0.2,0.6,2.1
30.0,30.0,0.6,0.2,0.7,2.2
31.0,31.0,0.7,0.2,0.7,2.2
32.0,32.0,0.7,0.2,0.7,2.3
33.0,33.0,0.7,0.3,0.8,2.3
34.0,34.0,0.8,0.3,0.8,2.4
35.0,35.0,0.8,0.3,0.9,2.5
36.0,36.0,0.9,0.3,0.9,2.5
37.0,37.0,0.9,0.3,1.0,2.6
38.0,38.0,1.0,0.3,1.0,2.6
39.0,39.0,1.0,0.3,1.1,2.7
40.0,40.0,1.1,0.4,1.1,2.8
41.0,41.0,1.1,0.4,1.2,2.9
42.0,42.0,1.2,0.4,1.2,2.9
43.0,43.0,1.2,0.4,1.3,3.0
44.0,44.0,1.3,0.4,1.3,3.1
45.0,45.0,1.3,0.5,1.4,3.1
46.0,46.0,1.4,0.5,1.5,3.2
47.0,47.0,1.5,0.5,1.6,3.3
48.0,48.0,1.5,0.5,1.6,3.4
49.0,49.0,1.6,0.6,1.7,3.5
50.0,50.0,1.7,0.6,1.8,3.6
51.0,50.9,1.8,0.6,1.9,3.7
52.0,51.9,1.8,0.6,2.0,3.8
53.0,52.9,1.9,0.7,2.0,3.9
54.0,53.9,2.0,0.7,2.1,4.0
55.0,54.9,2.1,0.7,2.2,4.1
56.0,55.9,2.2,0.8,2.3,4.1
57.0,56.9,2.3,0.8,2.4,4.2
58.0,57.9,2.4,0.8,2.5,4.3
59.0,58.9,2.5,0.9,2.6,4.4
60.0,59.9,2.6,0.9,2.7,4.5
61.0,60.9,2.7,0.9,2.8,4.6
62.0,61.9,2.8,1.0,2.9,4.7
63.0,62.9,2.8,1.0,3.0,4.8
64.0,63.9,2.9,1.0,3.1,4.9
65.0,64.9,3.0,1.1,3.2,4.9
66.0,65.9,3.1,1.1,3.3,5.0
67.0,66.9,3.2,1.2,3.4,5.1
68.0,67.9,3.3,1.2,3.5,5.2
69.0,68.9,3.4,1.2,3.6,5.3
70.0,69.9,3.5,1.3,3.8,5.4
71.0,70.8,3.6,1.3,3.9,5.5
72.0,71.8,3.7,1.4,4.0,5.5
73.0,72.8,3.8,1.4,4.1,5.6
74.0,73.8,3.9,1.4,4.2,5.7
75.0,74.8,4.0,1.5,4.3,5.7
76.0,75.8,4.1,1.5,4.4,5.8
77.0,76.8,4.2,1.6,4.5,5.9
78.0,77.8,4.4,1.6,4.6,6.0
79.0,78.8,4.5,1.7,4.8,6.0
80.0,79.8,4.6,1.7,4.9,6.1
81.0,80.8,4.7,1.8,5.0,6.2
82.0,81.8,4.8,1.8,5.1,6.2
83.0,82.8,4.9,1.9,5.2,6.3
84.0,83.8,5.0,1.9,5.3,6.3
85.0,84.8,5.1,2.0,5.4,6.4
86.0,85.7,5.2,2.0,5.6,6.5
87.0,86.7,5.3,2.1,5.7,6.5
88.0,87.7,5.4,2.1,5.8,6.6
89.0,88.7,5.5,2.2,5.9,6.7
90.0,89.7,5.6,2.3,6.0,6.7
91.0,90.7,5.7,2.3,6.2,6.8
92.0,91.7,5.8,2.4,6.3,6.8
93.0,92.7,5.9,2.4,6.4,6.9
94.0,93.7,6.0,2.5,6.5,7.0
95.0,94.7,6.2,2.6,6.7,7.0
96.0,95.7,6.3,2.6,6.8,7.1
97.0,96.7,6.3,2.7,6.9,7.1
98.0,97.7,6.5,2.8,7.0,7.2
99.0,98.6,6.6,2.8,7.1,7.2
100.0,99.6,6.7,2.9,7.3,7.3
101.0,100.6,6.8,3.0,7.4,7.3
102.0,101.6,6.9,3.0,7.5,7.4
103.0,102.6,7.0,3.1,7.6,7.4
104.0,103.6,7.1,3.2,7.8,7.5
105.0,104.6,7.2,3.3,7.9,7.5
106.0,105.6,7.3,3.3,8.0,7.6
107.0,106.6,7.4,3.4,8.1,7.6
108.0,107.6,7.5,3.5,8.2,7.6
109.0,108.6,7.6,3.5,8.4,7.7
110.0,109.6,7.7,3.6,8.5,7.7
111.0,110.6,7.8,3.7,8.6,7.8
112.0,111.5,7.9,3.7,8.8,7.8
113.0,112.5,8.0,3.8,8.9,7.9
114.0,113.5,8.1,3.9,9.0,7.9
115.0,114.5,8.2,4.0,9.1,8.0
116.0,115.5,8.3,4.1,9.3,8.0
117.0,116.5,8.4,4.1,9.4,8.0
118.0,117.5,8.6,4.2,9.5,8.1
119.0,118.5,8.7,4.3,9.7,8.1
120.0,119.5,8.8,4.4,9.8,8.2
121.0,120.5,8.9,4.4,9.9,8.2
122.0,121.5,9.0,4.5,10.0,8.2
123.0,122.5,9.0,4.6,10.1,8.3
124.0,123.4,9.1,4.7,10.3,8.3
125.0,124.4,9.2,4.8,10.4,8.3
126.0,125.4,9.4,4.8,10.5,8.4
127.0,126.4,9.5,4.9,10.7,8.4
128.0,127.4,9.6,5.0,10.8,8.4
129.0,128.4,9.7,5.1,10.9,8.5
130.0,129.4,9.8,5.2,11.0,8.5
131.0,130.4,9.9,5.2,11.2,8.5
132.0,131.4,9.9,5.3,11.3,8.5
133.0,132.4,10.0,5.4,11.4,8.6
134.0,133.4,10.1,5.5,11.5,8.6
135.0,134.4,10.2,5.5,11.6,8.6
136.0,135.4,10.3,5.6,11.8,8.6
137.0,136.3,10.4,5.7,11.9,8.7
138.0,137.3,10.5,5.8,12.0,8.7
139.0,138.3,10.6,5.9,12.1,8.7
