Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
0,0,0,0,0,0
1,0.81,-0.0028,0.0133,0.0136,1.3837
2,1.8099,-0.0067,0.0315,0.0322,1.5919
3,2.8097,-0.0102,0.0481,0.0492,1.6347
4,3.8095,-0.014,0.0658,0.0673,1.6847
5,4.8094,-0.0176,0.0829,0.0847,1.7008
6,5.8092,-0.0215,0.1012,0.1034,1.7175
7,6.8091,-0.0252,0.1184,0.1211,1.7275
8,7.8089,-0.0287,0.135,0.138,1.7263
9,8.8088,-0.032,0.1506,0.154,1.7143
10,9.8087,-0.0352,0.1658,0.1695,1.6917
11,10.8086,-0.0382,0.1795,0.1835,1.6673
12,11.8085,-0.0408,0.1921,0.1964,1.637
13,12.8084,-0.0433,0.2035,0.2081,1.6027
14,13.8083,-0.0459,0.2161,0.2209,1.5757
15,14.8082,-0.0486,0.2286,0.2337,1.5573
16,15.8082,-0.051,0.2399,0.2453,1.5335
17,16.8081,-0.0534,0.2511,0.2567,1.5119
18,17.808,-0.0557,0.262,0.2679,1.4866
19,18.808,-0.058,0.2726,0.2787,1.4664
20,19.8079,-0.0601,0.2827,0.289,1.4452
21,20.8078,-0.0622,0.2926,0.2992,1.4259
22,21.8078,-0.0642,0.3021,0.3089,1.4027
23,22.8078,-0.0658,0.3096,0.3165,1.3758
24,23.8078,-0.0673,0.3167,0.3238,1.3494
25,24.8077,-0.0687,0.3233,0.3305,1.323
26,25.8077,-0.0702,0.3301,0.3374,1.2968
27,26.8077,-0.0713,0.3354,0.3429,1.2695
28,27.8076,-0.0725,0.3409,0.3485,1.245
29,28.8076,-0.0736,0.3464,0.3541,1.2219
30,29.8076,-0.0745,0.3507,0.3585,1.1942
31,30.8076,-0.0754,0.3549,0.3628,1.1701
32,31.8076,-0.0763,0.359,0.367,1.147
33,32.8076,-0.0772,0.3631,0.3712,1.1254
34,33.8076,-0.0781,0.3677,0.3759,1.1049
35,34.8076,-0.079,0.3718,0.3801,1.0859
36,35.8076,-0.0799,0.3761,0.3845,1.0683
37,36.8076,-0.0809,0.3805,0.389,1.0519
38,37.8075,-0.0819,0.3852,0.3938,1.0358
39,38.8075,-0.0829,0.3902,0.3989,1.0226
40,39.8075,-0.0841,0.3958,0.4046,1.0117
41,40.8075,-0.0853,0.4014,0.4104,1.0014
42,41.8075,-0.0868,0.4083,0.4174,0.9934
43,42.8074,-0.0882,0.4151,0.4243,0.9867
44,43.8074,-0.0897,0.4221,0.4315,0.9809
45,44.8074,-0.0914,0.4302,0.4398,0.9777
46,45.8073,-0.0934,0.4393,0.4491,0.9758
47,46.8073,-0.0953,0.4485,0.4586,0.9755
48,47.8073,-0.0974,0.4583,0.4685,0.9761
49,48.8072,-0.0997,0.4689,0.4794,0.9788
50,49.8071,-0.102,0.4799,0.4907,0.9809
51,50.8071,-0.1041,0.4898,0.5008,0.9818
52,51.807,-0.1064,0.5007,0.5119,0.9846
53,52.8069,-0.109,0.5127,0.5242,0.9894
54,53.8068,-0.1119,0.5264,0.5382,0.9962
55,54.8067,-0.1152,0.5418,0.5539,1.007
56,55.8066,-0.1183,0.5565,0.5689,1.016
57,56.8064,-0.1217,0.5727,0.5855,1.0275
58,57.8062,-0.1253,0.5893,0.6025,1.0384
59,58.8061,-0.1291,0.6075,0.6211,1.0525
60,59.8059,-0.1325,0.6233,0.6373,1.0622
61,60.8057,-0.136,0.6398,0.6541,1.0727
62,61.8056,-0.1401,0.6591,0.6738,1.0864
63,62.8053,-0.1441,0.6778,0.693,1.0998
64,63.8051,-0.148,0.6964,0.712,1.1126
65,64.8049,-0.152,0.7151,0.7311,1.1251
66,65.8047,-0.1564,0.7357,0.7521,1.1392
67,66.8044,-0.1611,0.7579,0.7749,1.1564
68,67.8041,-0.1662,0.7818,0.7993,1.1756
69,68.8038,-0.1714,0.8063,0.8243,1.195
70,69.8034,-0.177,0.8329,0.8515,1.216
71,70.803,-0.1824,0.8581,0.8773,1.2355
72,71.8027,-0.1878,0.8835,0.9033,1.2547
73,72.8023,-0.1955,0.9075,0.9283,1.272
74,73.8019,-0.202,0.9349,0.9564,1.2921
75,74.8014,-0.21,0.9656,0.9882,1.3174
76,75.8009,-0.2191,0.9933,1.0172,1.3386
77,76.8004,-0.2283,1.0247,1.0499,1.3638
78,77.7997,-0.242,1.0586,1.0859,1.3918
79,78.7991,-0.2534,1.0889,1.118,1.4151
80,79.7983,-0.2659,1.125,1.156,1.4451
81,80.7975,-0.2763,1.1624,1.1948,1.4754
82,81.7965,-0.2876,1.204,1.2379,1.5092
83,82.7957,-0.2982,1.2422,1.2774,1.539
84,83.7946,-0.3094,1.2858,1.3225,1.5746
85,84.7936,-0.3193,1.3269,1.3648,1.606
86,85.7927,-0.3307,1.3701,1.4094,1.6385
87,86.7917,-0.3426,1.4124,1.4534,1.6704
88,87.7906,-0.3538,1.4571,1.4994,1.704
89,88.7893,-0.3662,1.5047,1.5486,1.7404
90,89.7881,-0.3782,1.5557,1.601,1.7785
91,90.7868,-0.3883,1.6036,1.6499,1.813
92,91.7855,-0.3989,1.6532,1.7006,1.8486
93,92.784,-0.41,1.7044,1.753,1.8853
94,93.7825,-0.4221,1.7603,1.8102,1.9253
95,94.781,-0.4331,1.8131,1.8641,1.9621
96,95.7795,-0.4425,1.8657,1.9174,1.9975
97,96.7781,-0.4513,1.9176,1.97,2.0313
98,97.7769,-0.4575,1.969,2.0214,2.0623
99,98.7756,-0.4611,2.0172,2.0692,2.09
100,99.7743,-0.4661,2.0679,2.1197,2.1199
101,100.773,-0.471,2.1181,2.1699,2.1488
102,101.772,-0.4733,2.1705,2.2215,2.1776
103,102.77,-0.4732,2.2183,2.2683,2.2021
104,103.769,-0.4732,2.2651,2.314,2.2251
105,104.768,-0.4783,2.3175,2.3663,2.2541
106,105.766,-0.4829,2.3758,2.4243,2.2867
107,106.765,-0.4839,2.4263,2.4741,2.3121
108,107.764,-0.4825,2.4761,2.5226,2.3359
109,108.762,-0.4814,2.5248,2.5703,2.3585
110,109.761,-0.4809,2.578,2.6224,2.3836
111,110.76,-0.4723,2.6258,2.668,2.4035
112,111.759,-0.4655,2.6742,2.7144,2.4238
113,112.757,-0.4614,2.7295,2.7682,2.4502
114,113.755,-0.4617,2.7907,2.8286,2.4809
115,114.754,-0.461,2.8494,2.8865,2.5098
116,115.752,-0.4615,2.9095,2.9459,2.5397
117,116.75,-0.4638,2.9716,3.0076,2.5711
118,117.748,-0.4636,3.0311,3.0663,2.5982
119,118.746,-0.4558,3.0834,3.1169,2.6192
120,119.745,-0.454,3.1343,3.167,2.6393
121,120.743,-0.4514,3.1934,3.2251,2.6659
122,121.741,-0.4499,3.2582,3.2891,2.6956
123,122.739,-0.4488,3.3186,3.3488,2.7225
124,123.738,-0.4465,3.3771,3.4065,2.7474
125,124.735,-0.446,3.4419,3.4707,2.777
126,125.733,-0.4467,3.5102,3.5385,2.8079
127,126.731,-0.4508,3.5732,3.6015,2.8357
128,127.729,-0.4513,3.6334,3.6613,2.8605
129,128.728,-0.4562,3.6874,3.7155,2.8807
130,129.726,-0.458,3.7486,3.7765,2.9046
131,130.725,-0.4615,3.8012,3.8292,2.9229
132,131.723,-0.4655,3.8559,3.8839,2.9425
133,132.721,-0.4681,3.9196,3.9475,2.9685
134,133.719,-0.4688,3.9822,4.0097,2.9919
135,134.717,-0.4693,4.0417,4.0689,3.0139
136,135.715,-0.4698,4.0995,4.1264,3.0343
137,136.713,-0.4684,4.1612,4.1874,3.057
138,137.712,-0.4651,4.2255,4.251,3.0801
139,138.709,-0.4647,4.2894,4.3145,3.1039
140,139.707,-0.4635,4.3523,4.3769,3.1266
141,140.705,-0.4716,4.4185,4.4436,3.152
142,141.703,-0.4835,4.49,4.516,3.1799
143,142.7,-0.4877,4.5609,4.5869,3.2075
144,143.697,-0.4918,4.6344,4.6605,3.2366
145,144.694,-0.4975,4.7094,4.7356,3.2664
146,145.691,-0.5018,4.7875,4.8138,3.2967
147,146.688,-0.5079,4.8626,4.8891,3.3258
148,147.685,-0.5145,4.9402,4.967,3.3563
149,148.682,-0.5215,5.0166,5.0436,3.3854
150,149.679,-0.5237,5.0973,5.1242,3.4157
151,150.676,-0.5315,5.1731,5.2003,3.4438
152,151.673,-0.5381,5.2518,5.2793,3.4734
153,152.67,-0.5432,5.3283,5.3559,3.5011
154,153.667,-0.5523,5.4088,5.437,3.5301
155,154.664,-0.5571,5.484,5.5122,3.5562
156,155.661,-0.5628,5.5536,5.5821,3.5784
157,156.659,-0.5679,5.627,5.6556,3.6028
158,157.655,-0.5726,5.7083,5.737,3.6306
159,158.652,-0.5756,5.7915,5.82,3.6603
160,159.648,-0.5794,5.875,5.9035,3.6899
161,160.645,-0.5772,5.9543,5.9822,3.7162
162,161.642,-0.573,6.031,6.0582,3.7392
163,162.639,-0.5704,6.1046,6.1312,3.7614
164,163.636,-0.5662,6.1803,6.2062,3.7845
165,164.633,-0.5619,6.2579,6.2831,3.8085
166,165.631,-0.5556,6.3343,6.3586,3.8301
167,166.628,-0.5492,6.408,6.4315,3.8511
168,167.625,-0.5414,6.4853,6.5078,3.8739
169,168.621,-0.5355,6.5637,6.5855,3.8973
170,169.619,-0.526,6.6403,6.6611,3.9179
171,170.616,-0.5199,6.7146,6.7347,3.9383
172,171.613,-0.5156,6.7926,6.8122,3.9608
173,172.609,-0.5102,6.8728,6.8917,3.9842
