Id,Comments,Family Name,Coordinates - Internal: Point_X,Coordinates - Internal: Point_Y
3559607,2-6,Place Marker,139.601,-120.463
3559752,2-5,Place Marker,124.601,-120.463
3559795,3-3,Place Marker,53.016,-88.337
3559846,3-2,Place Marker,38.044,-87.716
3559863,4-5,Place Marker,22.973,-87.943
3565811,2-4,Place Marker,137.219,-105.523
3565898,2-3,Place Marker,143.493,-91.898
3565941,2-2,Place Marker,136.576,-78.604
3565954,2-1,Place Marker,122.196,-82.990
3565983,3-6,Place Marker,111.352,-93.471
3566006,3-4,Place Marker,97.302,-87.935
3566047,3-1,Place Marker,82.223,-86.423
3566114,3-5,Place Marker,67.786,-90.942
3566147,4-6,Place Marker,1.471,-92.062
3566178,4-4,Place Marker,-2.139,-65.205
3566247,4-3,Place Marker,20.486,-60.580
3566274,4-2,Place Marker,35.486,-60.580
3566295,4-1,Place Marker,50.486,-60.580
3566318,5-6,Place Marker,6.208,-52.716
3566349,5-5,Place Marker,20.894,-45.517
3566378,5-4,Place Marker,8.139,-37.593
3566413,5-3,Place Marker,-2.860,-27.414
3566440,5-1,Place Marker,15.026,-24.263
3566475,5-2,Place Marker,1.195,-12.920
3566524,6-4,Place Marker,14.169,-5.380
3566561,6-3,Place Marker,29.169,-5.380
3566584,6-2,Place Marker,44.146,-5.380
3566599,6-1,Place Marker,59.146,-5.380
3566620,7-1,Place Marker,74.188,-5.380
3566657,7-2,Place Marker,89.188,-5.380
3566678,6-6,Place Marker,5.496,6.840
3566717,6-5,Place Marker,7.746,21.757
3566742,7-4,Place Marker,41.420,40.232
3566765,7-5,Place Marker,56.420,40.232
3566816,7-6,Place Marker,71.420,40.232
3566851,7-3,Place Marker,72.273,25.260
3566880,1-1,Place Marker,127.057,-28.909
3566925,1-4,Place Marker,135.491,-16.654
3566958,1-6,Place Marker,145.017,-28.193
3566987,1-2,Place Marker,125.748,-52.135
3567020,1-5,Place Marker,140.335,-55.661
3567057,1-3,Place Marker,125.748,-67.242
